facility_id,measure_id,value,footnote,start_date,end_date
50168,MSPB-1,1.055959,,01/01/2024,12/31/2024
50169,MSPB-1,0.959463,,01/01/2024,12/31/2024
50174,MSPB-1,1.03741,,01/01/2024,12/31/2024
50179,MSPB-1,0.952353,,01/01/2024,12/31/2024
50180,MSPB-1,1.022702,,01/01/2024,12/31/2024
50191,MSPB-1,1.101675,,01/01/2024,12/31/2024
50192,MSPB-1,1.062203,,01/01/2024,12/31/2024
50194,MSPB-1,0.962934,,01/01/2024,12/31/2024
50195,MSPB-1,0.989174,,01/01/2024,12/31/2024
50197,MSPB-1,0.942689,,01/01/2024,12/31/2024
50204,MSPB-1,1.057395,,01/01/2024,12/31/2024
50211,MSPB-1,0.96186,,01/01/2024,12/31/2024
50222,MSPB-1,0.940501,,01/01/2024,12/31/2024
50224,MSPB-1,1.020183,,01/01/2024,12/31/2024
50226,MSPB-1,1.076393,,01/01/2024,12/31/2024
50228,MSPB-1,0.907771,,01/01/2024,12/31/2024
50230,MSPB-1,1.173812,,01/01/2024,12/31/2024
50231,MSPB-1,0.991958,,01/01/2024,12/31/2024
50232,MSPB-1,0.92547,,01/01/2024,12/31/2024
50234,MSPB-1,0.850089,,01/01/2024,12/31/2024
50235,MSPB-1,1.014203,,01/01/2024,12/31/2024
50236,MSPB-1,1.002352,,01/01/2024,12/31/2024
50238,MSPB-1,1.130393,,01/01/2024,12/31/2024
50239,MSPB-1,1.086025,,01/01/2024,12/31/2024
50242,MSPB-1,0.997551,,01/01/2024,12/31/2024
50243,MSPB-1,1.041916,,01/01/2024,12/31/2024
50245,MSPB-1,1.017185,,01/01/2024,12/31/2024
50248,MSPB-1,1.040691,,01/01/2024,12/31/2024
50254,MSPB-1,0.947312,,01/01/2024,12/31/2024
50257,MSPB-1,1.420489,,01/01/2024,12/31/2024
50261,MSPB-1,1.017732,,01/01/2024,12/31/2024
50262,MSPB-1,0.994904,,01/01/2024,12/31/2024
50272,MSPB-1,1.048143,,01/01/2024,12/31/2024
50276,MSPB-1,0.960871,,01/01/2024,12/31/2024
50278,MSPB-1,1.01314,,01/01/2024,12/31/2024
50279,MSPB-1,0.917095,,01/01/2024,12/31/2024
50280,MSPB-1,1.027178,,01/01/2024,12/31/2024
50281,MSPB-1,1.182941,,01/01/2024,12/31/2024
50283,MSPB-1,1.010857,,01/01/2024,12/31/2024
50289,MSPB-1,1.008814,,01/01/2024,12/31/2024
50290,MSPB-1,1.022275,,01/01/2024,12/31/2024
50291,MSPB-1,0.957568,,01/01/2024,12/31/2024
50292,MSPB-1,1.049696,,01/01/2024,12/31/2024
50295,MSPB-1,1.040802,,01/01/2024,12/31/2024
50298,MSPB-1,1.044393,,01/01/2024,12/31/2024
50300,MSPB-1,0.985331,,01/01/2024,12/31/2024
50301,MSPB-1,0.946847,,01/01/2024,12/31/2024
50305,MSPB-1,0.973333,,01/01/2024,12/31/2024
50308,MSPB-1,1.00608,,01/01/2024,12/31/2024
50309,MSPB-1,0.948595,,01/01/2024,12/31/2024
50313,MSPB-1,0.975446,,01/01/2024,12/31/2024
50315,MSPB-1,0.979245,,01/01/2024,12/31/2024
50320,MSPB-1,1.004548,,01/01/2024,12/31/2024
50324,MSPB-1,0.966142,,01/01/2024,12/31/2024
50327,MSPB-1,0.993294,,01/01/2024,12/31/2024
50329,MSPB-1,1.040333,,01/01/2024,12/31/2024
50334,MSPB-1,0.981525,,01/01/2024,12/31/2024
50335,MSPB-1,0.907713,,01/01/2024,12/31/2024
50336,MSPB-1,1.00208,,01/01/2024,12/31/2024
50342,MSPB-1,0.871798,,01/01/2024,12/31/2024
50348,MSPB-1,1.018453,,01/01/2024,12/31/2024
50351,MSPB-1,0.935292,,01/01/2024,12/31/2024
50352,MSPB-1,0.869311,,01/01/2024,12/31/2024
50353,MSPB-1,0.972986,,01/01/2024,12/31/2024
50357,MSPB-1,1.005431,,01/01/2024,12/31/2024
50360,MSPB-1,0.979058,,01/01/2024,12/31/2024
50367,MSPB-1,0.943835,,01/01/2024,12/31/2024
50373,MSPB-1,0.881936,,01/01/2024,12/31/2024
50376,MSPB-1,0.892931,,01/01/2024,12/31/2024
50378,MSPB-1,1.30847,,01/01/2024,12/31/2024
50380,MSPB-1,1.021802,,01/01/2024,12/31/2024
50382,MSPB-1,1.178576,,01/01/2024,12/31/2024
50390,MSPB-1,1.087776,,01/01/2024,12/31/2024
50393,MSPB-1,0.985106,,01/01/2024,12/31/2024
50394,MSPB-1,1.012195,,01/01/2024,12/31/2024
50396,MSPB-1,1.008127,,01/01/2024,12/31/2024
50407,MSPB-1,0.904581,,01/01/2024,12/31/2024
50411,MSPB-1,0.987764,,01/01/2024,12/31/2024
50414,MSPB-1,0.93756,,01/01/2024,12/31/2024
50417,MSPB-1,0.919995,,01/01/2024,12/31/2024
50424,MSPB-1,0.918249,,01/01/2024,12/31/2024
50425,MSPB-1,0.975987,,01/01/2024,12/31/2024
50426,MSPB-1,1.234058,,01/01/2024,12/31/2024
50438,MSPB-1,1.02977,,01/01/2024,12/31/2024
50441,MSPB-1,0.984461,,01/01/2024,12/31/2024
50444,MSPB-1,0.946451,,01/01/2024,12/31/2024
50454,MSPB-1,0.961999,,01/01/2024,12/31/2024
50455,MSPB-1,1.088488,,01/01/2024,12/31/2024
50457,MSPB-1,0.992929,,01/01/2024,12/31/2024
50464,MSPB-1,1.030687,,01/01/2024,12/31/2024
50468,MSPB-1,1.097088,,01/01/2024,12/31/2024
50471,MSPB-1,1.178625,,01/01/2024,12/31/2024
50481,MSPB-1,1.088221,,01/01/2024,12/31/2024
50485,MSPB-1,1.111783,,01/01/2024,12/31/2024
50488,MSPB-1,1.071654,,01/01/2024,12/31/2024
50492,MSPB-1,1.045039,,01/01/2024,12/31/2024
50496,MSPB-1,0.974018,,01/01/2024,12/31/2024
50498,MSPB-1,0.917002,,01/01/2024,12/31/2024
50503,MSPB-1,0.93934,,01/01/2024,12/31/2024
50506,MSPB-1,0.981807,,01/01/2024,12/31/2024
50510,MSPB-1,0.90031,,01/01/2024,12/31/2024
50512,MSPB-1,0.860123,,01/01/2024,12/31/2024
50515,MSPB-1,0.865892,,01/01/2024,12/31/2024
50516,MSPB-1,0.988069,,01/01/2024,12/31/2024
50517,MSPB-1,1.202366,,01/01/2024,12/31/2024
50523,MSPB-1,0.983756,,01/01/2024,12/31/2024
50526,MSPB-1,1.246405,,01/01/2024,12/31/2024
50528,MSPB-1,0.997097,,01/01/2024,12/31/2024
50534,MSPB-1,0.968616,,01/01/2024,12/31/2024
50537,MSPB-1,0.895519,,01/01/2024,12/31/2024
50541,MSPB-1,0.911258,,01/01/2024,12/31/2024
50543,MSPB-1,1.126391,,01/01/2024,12/31/2024
50546,MSPB-1,,1.0,01/01/2024,12/31/2024
50549,MSPB-1,1.017307,,01/01/2024,12/31/2024
50551,MSPB-1,1.027236,,01/01/2024,12/31/2024
50557,MSPB-1,0.959113,,01/01/2024,12/31/2024
50561,MSPB-1,1.019986,,01/01/2024,12/31/2024
50567,MSPB-1,1.000811,,01/01/2024,12/31/2024
50570,MSPB-1,1.111787,,01/01/2024,12/31/2024
50573,MSPB-1,0.998756,,01/01/2024,12/31/2024
50580,MSPB-1,1.180198,,01/01/2024,12/31/2024
50581,MSPB-1,1.163832,,01/01/2024,12/31/2024
50586,MSPB-1,1.027494,,01/01/2024,12/31/2024
50588,MSPB-1,1.140566,,01/01/2024,12/31/2024
50589,MSPB-1,1.100734,,01/01/2024,12/31/2024
50590,MSPB-1,0.94416,,01/01/2024,12/31/2024
50597,MSPB-1,1.156162,,01/01/2024,12/31/2024
50599,MSPB-1,0.999499,,01/01/2024,12/31/2024
50603,MSPB-1,1.057858,,01/01/2024,12/31/2024
50604,MSPB-1,0.912388,,01/01/2024,12/31/2024
50608,MSPB-1,0.959359,,01/01/2024,12/31/2024
50609,MSPB-1,0.842965,,01/01/2024,12/31/2024
50624,MSPB-1,1.019337,,01/01/2024,12/31/2024
50625,MSPB-1,1.043478,,01/01/2024,12/31/2024
50633,MSPB-1,0.961128,,01/01/2024,12/31/2024
50636,MSPB-1,1.061574,,01/01/2024,12/31/2024
50641,MSPB-1,1.192227,,01/01/2024,12/31/2024
50663,MSPB-1,1.378816,,01/01/2024,12/31/2024
50668,MSPB-1,0.574733,,01/01/2024,12/31/2024
50674,MSPB-1,0.969082,,01/01/2024,12/31/2024
50677,MSPB-1,0.986048,,01/01/2024,12/31/2024
50678,MSPB-1,1.047826,,01/01/2024,12/31/2024
50684,MSPB-1,1.129194,,01/01/2024,12/31/2024
50686,MSPB-1,0.971164,,01/01/2024,12/31/2024
50689,MSPB-1,0.965784,,01/01/2024,12/31/2024
50690,MSPB-1,0.880344,,01/01/2024,12/31/2024
50696,MSPB-1,0.970383,,01/01/2024,12/31/2024
50697,MSPB-1,,1.0,01/01/2024,12/31/2024
50701,MSPB-1,1.01783,,01/01/2024,12/31/2024
50704,MSPB-1,1.309335,,01/01/2024,12/31/2024
50708,MSPB-1,0.983906,,01/01/2024,12/31/2024
50709,MSPB-1,0.926733,,01/01/2024,12/31/2024
50710,MSPB-1,0.842127,,01/01/2024,12/31/2024
50714,MSPB-1,0.855216,,01/01/2024,12/31/2024
50717,MSPB-1,1.033174,,01/01/2024,12/31/2024
50723,MSPB-1,0.99797,,01/01/2024,12/31/2024
50726,MSPB-1,,1.0,01/01/2024,12/31/2024
50735,MSPB-1,1.335399,,01/01/2024,12/31/2024
50736,MSPB-1,1.04578,,01/01/2024,12/31/2024
50737,MSPB-1,1.160636,,01/01/2024,12/31/2024
50738,MSPB-1,1.429597,,01/01/2024,12/31/2024
50739,MSPB-1,1.088664,,01/01/2024,12/31/2024
50740,MSPB-1,1.043382,,01/01/2024,12/31/2024
50744,MSPB-1,1.235897,,01/01/2024,12/31/2024
50745,MSPB-1,1.422432,,01/01/2024,12/31/2024
50746,MSPB-1,1.045298,,01/01/2024,12/31/2024
50747,MSPB-1,1.404241,,01/01/2024,12/31/2024
50748,MSPB-1,1.042466,,01/01/2024,12/31/2024
50755,MSPB-1,1.186165,,01/01/2024,12/31/2024
50758,MSPB-1,1.225004,,01/01/2024,12/31/2024
